Sp,? test	(General)	Self Test
,		(General)	Reset
o mess,char	(General)	Change message character
Sp,y n		(General)	Attribute list selection
Sp,Y n		(General)	Copy attribute list
Sp,z n		(General)	Window selection
0		(APL/ASCII)	APL mode
)		(APL/ASCII)	ASCII mode
+		(Status)	User status
Sp,d		(Status)	Scroll status lines forward
Sp,D		(Status)	Scroll status lines backward
/ sline,dev	(Status)	Display/transmit status
Sp,.		(Status)	Status line display off
Sp,* del,msg,del	(Status)	Set alert line message
Sp,G		(Status)	Alert line displayable
Sp,g		(Status)	Alert line not displayable
Sp,; n		(Status)	Set background status line
u		(Mode)		User mode
U		(Mode)		Programmer mode
f		(Mode)		Text mode
F		(Mode)		Form mode
s		(Mode)		Scroll mode
S		(Mode)		Page mode
7		(Mode)		Character mode
&		(Mode)		Block mode
5		(Mode)		Upper/lower case mode
%		(Mode)		Caps lock mode
8		(Mode)		Full duplex mode
*		(Mode)		Half duplex mode
9		(Mode)		Remode mode
(		(Mode)		Local mode
t		(Mode)		Transparent mode off
T		(Mode)		Transparent mode on
Sp,w		(Mode)		Auto wraparound off
Sp,W		(Mode)		Auto wraparound on
l		(Mode)		Auto linefeed off
L		(Mode)		Auto linefeed on
b		(Mode)		Auto tab off
B		(Mode)		Auto tab on
Sp,L		(Cursor)	Reverse line feed
'		(Cursor)	Back tab
]		(Cursor)	Tab set
_		(Cursor)	Tab clear
Sp,_		(Cursor)	Clear all tabs
;		(Cursor)	Cursor up
<		(Cursor)	Cursor down
=		(Cursor)	Cursor right
>		(Cursor)	Cursor left
?		(Cursor)	Home cursor
a line,col	(Cursor)	Write address (go to address)
A		(Cursor)	Read address
p		(Cursor)	End of text
w		(Cursor)	Set cursor to underline
W		(Cursor)	Set cursor to block
Sp,m		(Editing)	Form feed--clear screen
Sp,M		(Editing)	Form feed--top of page
^P		(Editing)	Insert mode on
Sp,0		(Editing)	Insert mode on (alternate)
^@		(Editing)	Insert mode off
Sp,Sp		(Editing)	Insert mode off (alternate)
^Q		(Editing)	Delete character in line/field
Sp,1		(Editing)	Delete character in line/field (alternate)
^A		(Editing)	Delete character in window
Sp,!		(Editing)	Delete character in window (alternate)
^R		(Editing)	Insert line
Sp,2		(Editing)	Insert line (alternate)
^B		(Editing)	Delete line
Sp,"		(Editing)	Delete line (alternate)
^S		(Editing)	Clear to end of line/field
Sp,3		(Editing)	Clear to end of line/field (alternate)
^C		(Editing)	Clear to end of window
Sp,#		(Editing)	Clear to end of window (alternate)
^U		(Editing)	Clear all to EOL
Sp,5		(Editing)	Clear all to EOL (alternate)
^E		(Editing)	Clear all to EOW
Sp,%		(Editing)	Clear all to EOW (alternate)
^G intype	(Editing)	Set insert type
Sp,' intype	(Editing)	Set insert type (alternate)
^H m,w,char	(Editing)	Define clear characteristics
Sp,( m,w,char	(Editing)	Define clear characteristics (alternate)
Sp,+ margin	(Editing)	Set margin bell offset
C		(Display)	Blink on
c		(Display)	Blink off
D		(Display)	Reverse video on
d		(Display)	Reverse video off
E		(Display)	Half bright on
e		(Display)	Half bright off
G		(Display)	Underline on
g		(Display)	Underline off
H		(Display)	Nondisplay on
h		(Display)	Nondisplay off
I		(Display)	Protection on
i		(Display)	Protection off
j cset		(Display)	Select character set
k		(Display)	Screen reverse video
K		(Display)	Screen normal video
M		(Display)	Half bright protected fields
m		(Display)	Normal protected fields
N w		(Display)	Set attribute word
n		(Display)	Read attribute word
J m,w,lns,cls	(Display)	Set attribute of block
r char,len	(Display)	Repeat character horizontal
R char,len	(Display)	Repeat character vertical
Sp,r		(Display)	Replace character & attribute
Sp,R		(Display)	Replace character only
Sp,A		(Display)	Character & attribute display
Sp,`		(Display)	Set underline to change attribute
Sp,@		(Display)	Set underline to normal character
Q dev,msg,EOF	(Devices)	Function route
Y network	(Devices)	Set output network
y		(Devices)	Read output network
}		(Devices)	Attach printer
~		(Devices)	Detach printer
{		(Devices)	Print window
|		(Devices)	Print line
Z		(Devices)	Formfeed prior to print on
z		(Devices)	Formfeed prior to print off
@		(Devices)	Attach tape
^		(Devices)	Detach tape
`		(Devices)	Message to tape
O baud		(Transmission)	Set buad rate
P parity	(Transmission)	Set parity
Sp,< sbits	(Transmission)	Set stop bits
Sp,V		(Transmission)	CTS/RTS protocol on
Sp,v		(Transmission)	CTS/RTS protocol off
Sp,F		(Transmission)	Buffer overflow control on
Sp,f		(Transmission)	Buffer overflow control off
Sp,P		(Transmission)	Parity check on
Sp,p		(Transmission)	Parity check off
^T		(Transmission)	Transmit line/field
Sp,4		(Transmission)	Transmit line/field (alternate)
^D		(Transmission)	Transmit window
Sp,$		(Transmission)	Transmit window (alternate)
^V		(Transmission)	Transmit all line/field
Sp,6		(Transmission)	Transmit all line/field (alternate)
^F		(Transmission)	Transmit all window
Sp,&		(Transmission)	Transmit all window (alternate)
Sp,-		(Transmission)	Create screen
Sp,T		(Transmission)	Trailing blank suppress on
Sp,t		(Transmission)	Trailing blank suppress off
Sp,U		(Transmission)	Underline transmit on
Sp,u		(Transmission)	Underline transmit off
1		(Transmission)	Start of print/transmit
Sp,, delay	(Transmission)	Set transmission delay
rub		(Transmission)	Initate break
!		(Screen)	Display width 80 columns
"		(Screen)	Display width 132 columns
v line,col,lns,cls	(Screen)	Define window
Sp,^		(Screen)	Reset all windows
Sp,Z		(Screen)	Define relative window
-		(Screen)	Page up
.		(Screen)	Page down
\		(Screen)	Scroll up
[		(Screen)	Scroll down
V line		(Screen)	Start of screen
2 k		(FKeys/Data)	Display function key
6 k		(FKeys/Data)	Program function key-screen
4 len,k,t,msg	(FKeys/Data)	Program function key-general
Sp,e k		(FKeys/Data)	Execute function key
$		(FKeys/Data)	Reset all function keys
Sp,= oper,k	(FKeys/Data)	Stored data display/storage
Sp,I del,msg,del	(FKeys/Data)	Program latent expression
Sp,E		(FKeys/Data)	Execute latent expression
Sp,H del,msg,del	(FKeys/Data)	Program answerback message
Sp,:		(FKeys/Data)	Transmit answerback message
Sp,C		(FKeys/Data)	Store communications configuration
Sp,S		(FKeys/Data)	Store configuration
Sp,a		(FKeys/Data)	Display stored configuration
Sp,~		(FKeys/Data)	Factory configuration reset
Sp,/ pgs	(FKeys/Data)	Allocate memory
Sp,K		(Keyboard)	Keyboard lock
Sp,k		(Keyboard)	Keyboard unlock
Sp,B		(Keyboard)	Keyboard bell enable
Sp,b		(Keyboard)	Keyboard bell disable
Sp,) dev	(Keyboard)	Keyboard communication line
X		(Keyboard)	Set cursor pad to transmit
